sample,raw_total_reads,clean_total_reads,clean_retention_rate,map_mapped_reads,map_mapping_rate,last_total_reads,last_retention_rate,paired_bam_total_reads,paired_bam_retention_rate
EPI-559_XH-CSM,49752320,48270274,0.970212,48572106,0.999248,31255872,0.628229,31228776,0.999133
EPI-559_XH-DSW,40194290,38511602,0.958136,38679177,0.998983,22508605,0.559995,22486452,0.999016
EPI-559_XH-LHJ,42858692,40775042,0.951383,40956742,0.999042,25131449,0.586379,25110847,0.99918
EPI-559_XH-LW,48773474,46182852,0.946885,46672651,0.998861,29206825,0.598826,29136960,0.997608
EPI-559_XH-LYH-1,47091196,43910012,0.932446,44404563,0.998897,25875484,0.549476,25809209,0.997439
EPI-559_XH-LYQ,48568266,46337244,0.954064,46610096,0.998909,27170009,0.559419,27140886,0.998928
EPI-559_XH-MCX,45697134,43534010,0.952664,43802547,0.999094,25347601,0.554687,25319485,0.998891
EPI-559_XH-SAT,40164326,37912942,0.943946,38176052,0.999155,23102440,0.575198,23069931,0.998593
EPI-559_XH-SZG,40329106,37605588,0.932468,37770600,0.998216,22727742,0.563557,22700029,0.998781
EPI-559_XH-TPX,44765338,41987302,0.937942,42197298,0.998974,26060097,0.582149,26027096,0.998734
EPI-559_XH-WYB,50639730,47981826,0.947513,48201829,0.999269,30150042,0.595383,30127264,0.999245
EPI-559_XH-YHT,47397956,44213356,0.932811,44433405,0.999068,28436901,0.59996,28406039,0.998915
EPI-559_XH-ZRX,49823928,47380246,0.950954,47842323,0.999057,27678310,0.555522,27625437,0.99809
EPI-560_XH-CSP,47210160,45131278,0.955965,45273293,0.998412,27456441,0.581579,27432148,0.999115
EPI-560_XH-CXY,66730876,65269822,0.978105,66756868,0.999167,37611170,0.563625,37454217,0.995827
EPI-560_XH-DGH,43733054,42929720,0.981631,43112231,0.998758,27310673,0.624486,27294790,0.999418
EPI-560_XH-GDA,64922798,64020440,0.986101,64415689,0.999218,41571982,0.640329,41515656,0.998645
EPI-560_XH-HLZ,62069054,61249536,0.986797,61467581,0.999289,38298226,0.617026,38274811,0.999389
EPI-560_XH-HXZ,53527254,52439046,0.97967,52964723,0.999229,33170733,0.619698,33100780,0.997891
EPI-560_XH-JQM,35231428,33532500,0.951778,33732862,0.997834,21102005,0.598954,21064804,0.998237
EPI-560_XH-KFJ,58228548,55992122,0.961592,56047274,0.996844,34674120,0.595483,34645200,0.999166
EPI-560_XH-LD,54761310,53443596,0.975937,53676404,0.999602,32457221,0.592704,32433074,0.999256
EPI-560_XH-LGZ,33525212,31603384,0.942675,31823496,0.998899,12824983,0.382547,12805255,0.998462
EPI-560_XH-LRM,69244704,66686280,0.963052,66908837,0.998396,43252696,0.624635,43211754,0.999053
EPI-560_XH-LY,54121642,52707340,0.973868,53415182,0.999627,32549778,0.601419,32479357,0.997837
EPI-560_XH-LYH-2,55318402,53940440,0.97509,54485820,0.998703,27529672,0.497658,27457476,0.997378
EPI-560_XH-MFH,39533490,37138166,0.93941,37239300,0.997261,23071743,0.5836,23054009,0.999231
EPI-560_XH-MJJ,25487490,24219332,0.950244,24308211,0.997729,15147301,0.594303,15130553,0.998894
EPI-560_XH-QCL,63099652,61973956,0.98216,62243221,0.999077,38635639,0.612296,38597764,0.99902
EPI-560_XH-QHF,66117014,65266376,0.987134,65565238,0.999577,39776751,0.601611,39742171,0.999131
EPI-560_XH-SSP,64268980,62311090,0.969536,62456722,0.998123,40135350,0.62449,40096494,0.999032
EPI-560_XH-SSQ,55331736,53859184,0.973387,54151816,0.999488,30654271,0.554009,30618770,0.998842
