GO_ID	GO_Description	GO_Type	fold_enrichment	qvalue_norm	program_component
GO:0036294	cellular response to decreased oxygen levels	BP	2.967810880802272	0.044877765359881645	consensus_peak_C1
GO:0051641	cellular localization	BP	1.3354230211663334	0.04465473519017753	consensus_peak_C1
GO:0007265	Ras protein signal transduction	BP	3.277143569527926	0.0446526682597595	consensus_peak_C1
GO:0034599	cellular response to oxidative stress	BP	2.6566151658915045	0.0446526682597595	consensus_peak_C1
GO:0042325	regulation of phosphorylation	BP	1.77383194710023	0.04465066744615153	consensus_peak_C1
GO:0048585	negative regulation of response to stimulus	BP	1.4961570302854674	0.04463539807279723	consensus_peak_C1
GO:0032103	positive regulation of response to external stimulus	BP	1.9717272745751353	0.0445816940785924	consensus_peak_C1
GO:0016477	cell migration	BP	1.4601661683129223	0.0445816940785924	consensus_peak_C1
GO:0030055	cell-substrate junction	CC	2.173035335360603	0.04451337362888686	consensus_peak_C1
GO:0005794	Golgi apparatus	CC	1.5091996494787787	0.044495242092833065	consensus_peak_C1
GO:0010506	regulation of autophagy	BP	2.395487313286894	0.0444336372765953	consensus_peak_C1
GO:0001726	ruffle	CC	2.8426494135196414	0.04442837644582281	consensus_peak_C1
GO:0016126	sterol biosynthetic process	BP	5.335217214533342	0.044381300451758796	consensus_peak_C1
GO:0019220	regulation of phosphate metabolic process	BP	1.7130818144084972	0.044381300451758796	consensus_peak_C1
GO:0051174	regulation of phosphorus metabolic process	BP	1.7130818144084972	0.044381300451758796	consensus_peak_C1
GO:0051056	regulation of small GTPase mediated signal transduction	BP	2.2775225276488396	0.04427062509826526	consensus_peak_C1
GO:0062197	cellular response to chemical stress	BP	2.4252213133010927	0.044058537005310816	consensus_peak_C1
GO:0045596	negative regulation of cell differentiation	BP	1.7612554532646199	0.0438767738301495	consensus_peak_C1
GO:0072678	T cell migration	BP	4.427156941832337	0.04382634290558754	consensus_peak_C1
GO:0045444	fat cell differentiation	BP	2.332613519275786	0.04372501528827434	consensus_peak_C1
GO:0000323	lytic vacuole	CC	1.913916528880033	0.043678365763139874	consensus_peak_C1
GO:0005764	lysosome	CC	1.913916528880033	0.043678365763139874	consensus_peak_C1
GO:0098772	molecular function regulator activity	MF	1.4416082335210456	0.043563209477227215	consensus_peak_C1
GO:0003713	transcription coactivator activity	MF	2.463953325800397	0.04348722797976867	consensus_peak_C1
GO:0003183	mitral valve morphogenesis	BP	7.609002401664207	0.043032678152388724	consensus_peak_C1
GO:1903146	regulation of autophagy of mitochondrion	BP	6.470983813035975	0.042828877983796004	consensus_peak_C1
GO:0050900	leukocyte migration	BP	2.2378973179315884	0.042818510440657424	consensus_peak_C1
GO:0014070	response to organic cyclic compound	BP	1.6766567775184762	0.042818510440657424	consensus_peak_C1
GO:0031399	regulation of protein modification process	BP	1.6617040043701408	0.042818510440657424	consensus_peak_C1
GO:0001932	regulation of protein phosphorylation	BP	1.7859493076615325	0.04268923814254499	consensus_peak_C1
GO:0003174	mitral valve development	BP	7.371349213531224	0.042149878571223924	consensus_peak_C1
GO:0007272	ensheathment of neurons	BP	2.8328112472337357	0.042149878571223924	consensus_peak_C1
GO:0008366	axon ensheathment	BP	2.8328112472337357	0.042149878571223924	consensus_peak_C1
GO:1901699	cellular response to nitrogen compound	BP	1.8374103753918538	0.042149878571223924	consensus_peak_C1
GO:0010885	regulation of cholesterol storage	BP	8.890386754909391	0.042036097587665334	consensus_peak_C1
GO:0060759	regulation of response to cytokine stimulus	BP	2.8239770894323573	0.042036097587665334	consensus_peak_C1
GO:0030334	regulation of cell migration	BP	1.5924265617855184	0.042036097587665334	consensus_peak_C1
GO:0048384	retinoic acid receptor signaling pathway	BP	5.509111799061896	0.04173079156540906	consensus_peak_C1
GO:0035437	maintenance of protein localization in endoplasmic reticulum	BP	15.831621006766172	0.04167223714946808	consensus_peak_C1
GO:0048870	cell motility	BP	1.413564763367818	0.04164623177156615	consensus_peak_C1
GO:0003300	cardiac muscle hypertrophy	BP	3.3438988930468136	0.04144921705415909	consensus_peak_C1
GO:0051247	positive regulation of protein metabolic process	BP	1.615989885697903	0.04143528414218625	consensus_peak_C1
GO:0071453	cellular response to oxygen levels	BP	2.78950378089915	0.04135616657278565	consensus_peak_C1
GO:0002521	leukocyte differentiation	BP	1.8592838321607188	0.04120112544917681	consensus_peak_C1
GO:0031667	response to nutrient levels	BP	1.9924055302265489	0.04116849257851599	consensus_peak_C1
GO:0014897	striated muscle hypertrophy	BP	3.2998040379647793	0.04082466309675496	consensus_peak_C1
GO:1900046	regulation of hemostasis	BP	4.429996709416777	0.0407894127776775	consensus_peak_C1
GO:0001221	transcription coregulator binding	MF	2.9088602612350316	0.04078134574662805	consensus_peak_C1
GO:1905517	macrophage migration	BP	5.340679808514567	0.04076336169897884	consensus_peak_C1
GO:0051057	positive regulation of small GTPase mediated signal transduction	BP	3.8460755091383625	0.04076336169897884	consensus_peak_C1
GO:0032868	response to insulin	BP	2.50104787550897	0.04076336169897884	consensus_peak_C1
GO:0031325	positive regulation of cellular metabolic process	BP	1.3212284688233333	0.040720917044172286	consensus_peak_C1
GO:0042063	gliogenesis	BP	2.044702247878876	0.04068183981041202	consensus_peak_C1
GO:0043168	anion binding	MF	1.4061788921206997	0.040614451131351495	consensus_peak_C1
GO:0045428	regulation of nitric oxide biosynthetic process	BP	4.385212078714918	0.04046797076794854	consensus_peak_C1
GO:0033365	protein localization to organelle	BP	1.6999746109740619	0.04038953321821922	consensus_peak_C1
