test_index	y_test	OCR_proba_0	OCR_proba_1	OCR_proba_2	gene_counts_proba_0	gene_counts_proba_1	gene_counts_proba_2	consensus_peak_proba_0	consensus_peak_proba_1	consensus_peak_proba_2
100	1	0.42844363434790084	0.41668061180785515	0.154875753844244	0.3546615048796693	0.5622862139883005	0.08305228113203018	0.2813101189848926	0.6074527510516753	0.111237129963432
101	0	0.4725056452517194	0.16359288324039256	0.36390147150788804	0.7380161371508245	0.1851719972786361	0.07681186557053936	0.5044741196532797	0.184182806634542	0.31134307371217823
102	1	0.16729879200544476	0.6790680489614541	0.15363315903310112	0.35729953272156517	0.5906063781606646	0.052094089117770255	0.05588900351922965	0.4902468219912716	0.4538641744894987
103	0	0.256051621266534	0.7055263884513128	0.038421990282153144	0.6496598083564634	0.31226883622594565	0.038071355417590914	0.3767411039882063	0.5317960281734853	0.09146286783830833
104	1	0.32956874009044657	0.469930817314203	0.2005004425953504	0.14212526168002496	0.38969836284775267	0.4681763754722223	0.42553195685578543	0.5216985005731797	0.052769542571034896
105	1	0.6652470468469611	0.3293367083287396	0.005416244824299338	0.0852512391636832	0.891309592005919	0.023439168830397844	0.48845547509187554	0.4965810077899094	0.014963517118214973
106	1	0.38786290137178875	0.589335116112503	0.02280198251570827	0.34481070429067157	0.5384081220161877	0.11678117369314078	0.37994432407621687	0.5589590098914247	0.06109666603235848
107	1	0.5885999289513731	0.3275036010192902	0.08389647002933663	0.42610421131683446	0.5180787689036541	0.05581701977951136	0.4222156101403027	0.5650414733576091	0.012742916502088163
108	0	0.6704830923290195	0.268675773411621	0.06084113425935945	0.4449853878270475	0.5022207143918503	0.05279389778110214	0.6622328933499433	0.31757246606203343	0.02019464058802332
109	0	0.7865096933148908	0.1795144251629152	0.03397588152219396	0.2658460225195087	0.6776080072289835	0.05654597025150771	0.5965538568812215	0.3946896751887828	0.008756467929995685
110	0	0.3654235640061872	0.6026435043308537	0.031932931662959026	0.4067139804962234	0.4936482930683345	0.09963772643544211	0.27459143339861464	0.7021416704839956	0.023266896117389857
111	1	0.634093833129541	0.3314452513170716	0.0344609155533874	0.2606262222367724	0.23755162740308133	0.5018221503601462	0.09017303302461359	0.7544280390245053	0.15539892795088106
112	1	0.10828398488800917	0.8577339142890779	0.03398210082291294	0.12433141622926658	0.8475889996640461	0.028079584106687396	0.3601556843216442	0.6152251914828558	0.024619124195499987
113	1	0.3658732698296346	0.47160313368661333	0.1625235964837521	0.4140458663298796	0.3839536871522304	0.20200044651789004	0.16104609008030832	0.7900818447742989	0.04887206514539281
114	2	0.6120615304339947	0.29697492032503264	0.0909635492409726	0.08779858256356084	0.8432248475019287	0.06897656993451047	0.3607920972302507	0.6349426433276767	0.004265259442072661
115	1	0.08842871656619385	0.873141887660088	0.038429395773718095	0.17038662734473795	0.7387551824863298	0.09085819016893225	0.06950981742639091	0.9112624731502552	0.01922770942335385
116	1	0.7814996443330392	0.21585556952149856	0.0026447861454622023	0.7284346119111831	0.22224692183155104	0.04931846625726594	0.3361669982962021	0.6052120736215708	0.05862092808222707
117	0	0.13171772039544524	0.8185388115066061	0.04974346809794857	0.15816411024473684	0.5540827758433057	0.2877531139119575	0.3527766101276979	0.392155289620429	0.25506810025187315
118	1	0.40767625235489763	0.44489077755801	0.14743297008709236	0.46451655049785634	0.41006542565118725	0.12541802385095638	0.5247969000360823	0.4001840735009132	0.07501902646300465
119	2	0.07470174609332732	0.7541469355745191	0.17115131833215355	0.10274772720308435	0.5966832977944662	0.30056897500244945	0.4306391720365122	0.38193286196140264	0.187427966002085
120	2	0.4358447166301418	0.380295262695183	0.18386002067467522	0.29726140174125165	0.5707178512199008	0.13202074703884759	0.15964589359216497	0.6497040784566052	0.19065002795122976
121	2	0.7142983646488554	0.23019581546592474	0.055505819885219854	0.13585744843773093	0.706023566376356	0.15811898518591314	0.5448528110048345	0.3988407242366394	0.0563064647585261
122	0	0.4998647793620962	0.47901060477900853	0.021124615858895315	0.40370321765712885	0.4694030274664911	0.12689375487638008	0.21728283812648538	0.7643983060916301	0.018318855781884524
123	0	0.21365669055438705	0.7634409996078014	0.022902309837811646	0.24110216427012962	0.740624459845966	0.018273375883904274	0.30952350263845196	0.6882226023955234	0.002253894966024648
124	1	0.1757399395919461	0.7412517019503463	0.08300835845770774	0.2856326373703217	0.6119328142954151	0.10243454833426309	0.11945574581053886	0.6158819823535832	0.26466227183587804
125	2	0.314190451072411	0.43592932636153536	0.2498802225660536	0.4543060008246103	0.42765761453785056	0.11803638463753914	0.2753656848866752	0.5018140126022302	0.22282030251109453
126	1	0.362143738301865	0.5535313106175562	0.0843249510805788	0.22216442629491887	0.5452279337125142	0.23260763999256692	0.23018271098984922	0.6921535047112819	0.07766378429886889
127	0	0.20022675737630377	0.6398091272050189	0.15996411541867733	0.3553416514660553	0.5353974434049965	0.10926090512894825	0.5780637047539005	0.38942904680630647	0.032507248439793156
128	0	0.5686824417328816	0.36813157049088724	0.06318598777623115	0.2225509834728935	0.7381880242241975	0.03926099230290885	0.45541209165187674	0.47649415934076006	0.06809374900736316
129	0	0.5208787557145024	0.3000080538183038	0.17911319046719368	0.1132431601924024	0.7031484383972776	0.1836084014103201	0.48517755210543617	0.2609134365668419	0.253909011327722
130	0	0.40111585301405467	0.5253494467388963	0.07353470024704915	0.3217990449939106	0.5114036680950252	0.16679728691106413	0.1277040944991297	0.75862740580983	0.11366849969104025
131	1	0.3841237114418159	0.45007954007460355	0.16579674848358059	0.2504934847906455	0.4747827859325254	0.27472372927682914	0.35451818480110875	0.4400929865253946	0.20538882867349673
132	0	0.6880976666330415	0.09729684999462129	0.2146054833723372	0.4132092348862288	0.5414053979274734	0.04538536718629781	0.09491384962125719	0.8731146165672824	0.03197153381146047
133	2	0.6958595535504898	0.295729670693337	0.008410775756173256	0.6072676560260163	0.33149141077322325	0.06124093320076034	0.45962879971767423	0.5366394192156527	0.0037317810666730755
