	bladder	bonemarrow	brain	breast	colonsigmoid	colontransverse	heart	hypothalamus	kidney	liver	lung	lymphnodes	ovary	pancreas	placenta	prostate	skin	stomach	testis
EPI-538_XH-LJP	0.04342492844634862	0.11422480997403114	0.04232568192614448	0.04839870372451754	0.06163605017728073	0.06369099653061887	0.0443406605011783	0.04013800380695949	0.044284870206812196	0.049637377404497605	0.05646732686922093	0.06426876357121471	0.04076085989224282	0.04528932318585099	0.04533510003871401	0.04379609724674049	0.04742086391743966	0.06139431453384282	0.043165268046344664
EPI-538_XH-LQ	0.04487221046135652	0.08907419341312497	0.04409174206867278	0.049506591576205204	0.062187984544597175	0.06472179528733284	0.04606686504556238	0.041680891144652066	0.046368424977901786	0.05427195512361887	0.056341399069789515	0.062093980091010754	0.042509445678538184	0.04832697359624149	0.04582593843751871	0.04535042914488759	0.04811253899467326	0.06384542699658959	0.04475121434772605
EPI-538_XH-LQR	0.0448126450301793	0.09585381239458739	0.04388226875813568	0.04972713984727001	0.06169368188988085	0.06422572718321014	0.045809084420821954	0.04150204927720011	0.045628168364567664	0.05083794671033217	0.05674486245463387	0.06311036641910599	0.042528773148831654	0.04705417646026907	0.04628327692769519	0.04493557988103814	0.04816131014456765	0.06278129310610053	0.0444278375815727
EPI-538_XH-LWX	0.04363961020363783	0.11242644599869905	0.04303942152215119	0.048974168975145886	0.06132248677925588	0.06371615574788693	0.04469168397972154	0.04065185918193748	0.04418916176828705	0.048279445708258886	0.056991667828623534	0.06457826014368369	0.04096119249067151	0.04477538176751686	0.04544236777548709	0.04389959275694999	0.04778461273584002	0.061038868810503424	0.043597615825742134
EPI-538_XH-LXM	0.04267929100280349	0.12082575495782183	0.0415299176104948	0.04786237246641663	0.0629799053507672	0.06550011181014109	0.04342383743077357	0.03929134999733763	0.04322879204515041	0.04821000793258164	0.05671631049054474	0.0653788787945404	0.03987681414125375	0.04397879841627809	0.044743637650858176	0.04307162349144047	0.046758678347802105	0.06153401628112314	0.04240990178187085
EPI-538_XH-LXQ	0.04408620112229536	0.11375137650847189	0.04146026648713074	0.04821859266947466	0.06191759579234697	0.06394124372259813	0.044645384434886824	0.04001673127173936	0.04416784079758457	0.049022432524667627	0.056778009947117195	0.0635736404488587	0.04139608747791755	0.04568489014981774	0.04612422165307155	0.04399791066368394	0.04715404804364249	0.06173758246377051	0.0423259438209241
EPI-538_XH-LYH	0.045262334613921006	0.08996826138728722	0.04412505807037628	0.049881197261111954	0.06241956624768922	0.06493183408068065	0.04645577526567223	0.041933453531516694	0.045968402628197215	0.0505074245414354	0.05716303364607455	0.06305354791051121	0.0428165967696561	0.04723267768778146	0.046201635996559874	0.04537450764609449	0.048469780608099824	0.06349037247461628	0.04474453963271816
EPI-538_XH-LYM	0.0455393762174445	0.07454678728332756	0.04561576248257523	0.04990332375256474	0.062147532714825426	0.06511578431363367	0.04710966053465407	0.042917949058357385	0.048371460866882876	0.05909843943164946	0.05520263070096776	0.05887159574275765	0.043426117564753765	0.050457612801729605	0.046467672865467685	0.04648750324902476	0.04816983453027208	0.06442022373086823	0.046130732158243454
EPI-538_XH-MBL	0.04625696134761957	0.08238319459785942	0.04528798297117147	0.05070509070588459	0.06083818822597891	0.06356315183763048	0.047619250302157	0.0430063244121091	0.046948656765978126	0.05019997857272703	0.056715979144266356	0.06167105924990487	0.044411642588547726	0.048443267809116904	0.047268470635843704	0.04603030934787425	0.04899764329877806	0.06388372931576256	0.04576911887078974
EPI-538_XH-MCR	0.04425389926512787	0.10279294632765511	0.04283350339168228	0.04920136282101145	0.06278099128023105	0.06527652864945002	0.04497246960663948	0.04051448904995704	0.04452479341874604	0.048803052295833954	0.05714863075841906	0.06465469098922863	0.04177520908168203	0.04573713353990919	0.04577906925399509	0.044261739808262555	0.04790231601478277	0.06327735537445567	0.04350981907293056
