sample	true_state	OCR_pseudotime	OCR_score_0	OCR_score_1	gene_counts_pseudotime	gene_counts_score_0	gene_counts_score_1	consensus_peak_pseudotime	consensus_peak_score_0	consensus_peak_score_1	window_pseudotime	window_score_0	window_score_1	y_test
EPI-560_XH-LYH-2	S11	0.334678053855896	0.255863508993428	0.3883186116191207	0.2499834895133972	0.2631967632352676	0.23621386872395467	0.4168140292167663	0.05140674737650958	0.11956373292867932	0.5082190036773682	0.39165454948823947	0.44008833611887516	2
EPI-560_XH-MFH	S10	0.2132997363805771	0.19219336007474652	0.050796164393524156	0.3633570075035095	0.08749794742420564	0.11496468573554786	0.233341634273529	0.16861039109624695	0.13803000522620346	0.2783594131469726	0.243699650023242	0.3122043954776109	1
EPI-560_XH-MJJ	S10	0.1253984570503235	0.17529717031970612	0.04930318052508961	0.1124309301376342	0.1955201239483795	0.04457449916356012	0.1883285045623779	0.0	0.14126655911290847	0.3999247848987579	0.3173003161754304	0.31627963553154687	1
EPI-560_XH-QCL	S11	0.4358962774276733	0.338231135511257	0.3403449545521899	0.3113115727901459	0.3571730755805836	0.3302568227264091	0.3273824751377105	0.14497255244589033	0.24293885389094097	0.5170111060142517	0.5895995581210453	0.5215360898257266	2
EPI-560_XH-QHF	S11	0.3136399984359741	0.3313033310194004	0.237683781205803	0.2353642433881759	0.21662935074051076	0.16135081301796644	0.2508613765239715	0.25375189781969504	0.23812801101169603	0.5712661147117615	0.5355524509906143	0.42359446936981004	2
EPI-560_XH-SSP	S01	0.2528797388076782	0.5040024328036984	0.3940906331008018	0.1584292948246002	0.10526205794981464	0.2333543667636628	0.29035085439682	0.17309818207717317	0.2622657673329401	0.5684977769851685	0.40099145141538106	0.45062791467173074	1
EPI-560_XH-SSQ	S11	0.4783329367637634	0.22625008688266895	0.23920566799944928	0.2930791974067688	0.1741467277603935	0.21498401056215385	0.3667295277118683	0.023127254505821954	0.13252079054577082	0.597174882888794	0.3893484291429589	0.28859293373819084	2
EPI-560_XH-WFJ	S00	0.2497877180576324	0.45153749538734356	0.2923382232771621	0.1936549991369247	0.24083882815317562	0.23887763074845736	0.244208350777626	0.18899600421627671	0.131555386949921	0.1624684482812881	0.40291526825722235	0.2529683770840165	0
EPI-560_XH-WK	S10	0.2193010747432708	0.29273508545922144	0.28349270947148686	0.2760046720504761	0.19460473869109604	0.07841163887624926	0.2774723470211029	0.0518468076358562	0.1634611670340158	0.3683147430419922	0.3760465776327971	0.41808782615477885	1
EPI-560_XH-XBH	S10	0.5158770680427551	0.6005072995723942	0.5728736072966646	0.6448240280151367	0.6379496542824985	0.7570638797005058	0.7228111028671265	0.3013738231600385	0.37131933455289295	0.8561493158340454	0.7886589962825206	0.7226654897762288	1
EPI-560_XH-XGC	S01	0.2893984019756317	0.2870125821513551	0.3497387443529593	0.2087946534156799	0.18557975487502207	0.06260147294067397	0.1669545620679855	0.26621683401344765	0.1499643538821608	0.4049897491931915	0.37575326244536034	0.32202779381990326	1
EPI-560_XH-YYC	S11	0.7191102504730225	0.5401174068920687	0.4890633876804523	0.4075937271118164	0.289311355899487	0.2976261383101119	0.5114297866821289	0.27656255670840213	0.14146054628224328	0.7133979797363281	0.5211265421189843	0.4969481716775262	2
EPI-560_XH-ZCX	S11	0.9096846580505372	0.775626814572488	0.8012605729606587	0.8165159225463867	0.8929767855636693	0.7456685577150811	0.8443870544433594	0.560631622170739	0.5796818548478724	0.9321421980857848	0.9414988771963125	0.9149914258349302	2
EPI-560_XH-ZSF	S00	0.2619263827800751	0.3981859324022773	0.29495423687068406	0.1515838205814361	0.10167340906716182	0.04322588502336016	0.166440948843956	0.2290243316616196	0.2515695653161852	0.1716198474168777	0.3087549253498167	0.34217994446939826	0
EPI-560_XH-ZXL-1	S11	0.3767225444316864	0.3817988775181212	0.21044112971307632	0.2293270677328109	0.07615877233575707	0.15211740908515747	0.3062266409397125	0.2138963163441807	0.2351915576967075	0.5731744766235352	0.34601844346353666	0.35841985388830216	2
EPI-561_XH-DSX	S00	0.1825610548257827	0.3682212028256691	0.14968964330221968	0.1388866007328033	0.10942393527295757	0.1196655383893552	0.0717132836580276	0.20995860745884062	0.22033017207036013	0.2094239890575409	0.2864205901925409	0.19196893782424568	0
EPI-561_XH-HXC	S11	0.3382910192012787	0.39437633345656226	0.2683559159816375	0.2734201550483703	0.13314521730787285	0.004173904727322582	0.4589799642562866	0.2187388882304115	0.18883538026312757	0.527207612991333	0.28311309335022017	0.4574483967488819	2
